eCalc  -  Propeller Calculator                    all data without guarantee - Accuracy:  /-15%


Project Name;;4000g__6240g;

Battery;;custom;
Configuration:;;10S7P;
Load:;C;5.52;
Voltage:;V;8.34;
Rated Voltage:;V;10.00;
Energy:;Wh;175;
Total Capacity:;mAh;17500;
max. discharge:;;85%;
Used Capacity:;mAh;14875;
min. Flight Time:;min;9.2;
Mixed Flight Time:;min;10.8;
Weight:;g;2240;
;oz;79;


Controller;;max 60A;
Current:;A cont.;60;
;A max;60;
Weight:;g;80;
;oz;2.8;
Wire extension battery:;;AWG10=5.27mm²;
Length:;mm;0;
;inch;0;
Wire extension motor:;;AWG14=2.08mm²;
Length:;mm;152.4;
;inch;6;


Motor @ Maximum;;Hacker A30-12M-V3 (1370);
Gear Ratio:;: 1;1;
Weight:;g;104;
;oz;3.7;
Current:;A;48.28;
Voltage:;V;8.00;
Revolutions*:;rpm;8986;
electric Power:;W;386.4;
mech. Power:;W;313.7;
Efficiency:;%;81.2;
est. Temperature:;°C;69;
;°F;156;


Propeller
Propeller;;Graupner CAM Slim Prop (0°)  11" x 7";
# Blades:;;2;
Static Thrust:;g;1943;
;oz;68.5;
Revolutions*:;rpm;8986;
Stall Thrust:;g;1194;
;oz;42.1;
avail.Thrust @ Flight Speed:;g@km/h;120 @ 90;
;oz@mph;4.2 @ 55.9;
Pitch Speed:;km/h;96;
;mph;60;
specific Thrust:;g/W;5.03;
;oz/W;0.18;


Total Drive;;
Drive Weight:;g;2869;
;oz;101.2;
Power-Weight:;W/kg;141;
;W/lb;64;
Thrust-Weight:;: 1;0.57;
Current @ max:;A;96.56;
P(in) @ max:;W;965.6;
P(out) @ max:;W;627.4;
Efficiency @ max:;%;65.0;


Airplane
# of Motors:;;2;
All-up Weight:;g;6869;
;oz;242.3;
Wing Area:;;82;
Wing Load:;g/dm²;84;
;oz/ft²;27.5;
Cubic Wing Load:;;9.3;
est. Stall Speed:;km/h;45;
;mph;28;
est. Speed (level):;km/h;86;
;mph;53;
est. Speed (vertical):;km/h;-;
;mph;-;
est. rate of climb:;m/s;5.4;
;ft/min;1058;


Remarks:;;0;

Statement for using this calculator: All values are calculated and may deviate from the real. Before flight you have to recheck the actual max. values. All max. values must stay within the limits of the manufacturers. A commercial use is forbidden. We reject any liability! 

(c) by Solution for All   -   7.10, 09.10.17
